Date,Vegetable,Wholesale Price,Retail Min,Retail Max,Mall Min,Mall Max,Units
2022-01-07,Coriander Leaves,12,14,15,14,20,1kg
2022-01-07,Corn,35,40,44,42,58,1kg
2022-01-07,Cucumber,20,23,25,24,33,1kg
2022-01-07,Curry Leaves,45,52,57,54,74,1kg
2022-01-07,Dill Leaves,12,14,15,14,20,1kg
2022-01-07,Drumsticks,249,286,316,299,411,1kg
2022-01-07,Brinjal,51,59,65,61,84,1kg
2022-01-07,Brinjal,94,108,119,113,155,1kg
2022-01-07,Elephant Yam,32,37,41,38,53,1kg
2022-01-07,Fenugreek Leaves,10,12,13,12,17,1kg
2022-01-07,French Beans,36,41,46,43,59,1kg
2022-01-07,Garlic,71,82,90,85,117,1kg
2022-01-07,Ginger,41,47,52,49,68,1kg
2022-01-07,Onion Green,45,52,57,54,74,1kg
2022-01-07,Green Peas,47,54,60,56,78,1kg
2022-01-07,Ivy Gourd,34,39,43,41,56,1kg
2022-01-07,Lemon,40,46,51,48,66,1kg
2022-01-07,Mango Raw,81,93,103,97,134,1kg
2022-01-07,Mint Leaves,8,9,10,10,13,1kg
2022-01-07,Mushroom,78,90,99,94,129,1kg
2022-01-07,Mustard Leaves,18,21,23,22,30,1kg
2022-01-07,Ladies Finger,55,63,70,66,91,1kg
2022-01-07,Pumpkin,27,31,34,32,45,1kg
2022-01-07,Radish,35,40,44,42,58,1kg
2022-01-07,Ridge Gourd,31,36,39,37,51,1kg
2022-01-07,Shallot,37,43,47,44,61,1kg
2022-01-07,Snake Gourd,35,40,44,42,58,1kg
2022-01-07,Sorrel Leaves,13,15,17,16,21,1kg
2022-01-07,Spinach,10,12,13,12,17,1kg
2022-01-07,Sweet Potato,43,49,55,52,71,1kg
2022-01-08,Onion Big,36,41,46,43,59,1kg
2022-01-08,Onion Small,61,70,77,73,101,1kg
2022-01-08,Tomato,45,52,57,54,74,1kg
2022-01-08,Green Chilli,85,98,108,102,140,1kg
2022-01-08,Beetroot,67,77,85,80,111,1kg
2022-01-08,Potato,20,23,25,24,33,1kg
2022-01-08,Raw Banana,4,5,5,5,7,1kg
2022-01-08,Amaranth Leaves,18,21,23,22,30,1kg
2022-01-08,Amla,80,92,102,96,132,1kg
2022-01-08,Ash gourd,23,26,29,28,38,1kg
2022-01-08,Baby Corn,55,63,70,66,91,1kg
2022-01-08,Banana Flower,14,16,18,17,23,1kg
2022-01-08,Capsicum,48,55,61,58,79,1kg
2022-01-08,Bitter Gourd,58,67,74,70,96,1kg
2022-01-08,Bottle Gourd,26,30,33,31,43,1kg
2022-01-08,Butter Beans,41,47,52,49,68,1kg
2022-01-08,Broad Beans,60,69,76,72,99,1kg
2022-01-08,Cabbage,42,48,53,50,69,1kg
2022-01-08,Carrot,71,82,90,85,117,1kg
2022-01-08,Cauliflower,43,49,55,52,71,1kg
2022-01-08,Cluster beans,40,46,51,48,66,1kg
2022-01-08,Coconut,35,40,44,42,58,1kg
2022-01-08,Colocasia Leaves,14,16,18,17,23,1kg
2022-01-08,Colocasia,27,31,34,32,45,1kg
2022-01-08,Coriander Leaves,9,10,11,11,15,1kg
2022-01-08,Corn,36,41,46,43,59,1kg
2022-01-08,Cucumber,23,26,29,28,38,1kg
2022-01-08,Curry Leaves,42,48,53,50,69,1kg
2022-01-08,Dill Leaves,13,15,17,16,21,1kg
2022-01-08,Drumsticks,246,283,312,295,406,1kg
2022-01-08,Brinjal,50,58,64,60,83,1kg
2022-01-08,Brinjal,96,110,122,115,158,1kg
2022-01-08,Elephant Yam,24,28,30,29,40,1kg
2022-01-08,Fenugreek Leaves,15,17,19,18,25,1kg
2022-01-08,French Beans,34,39,43,41,56,1kg
2022-01-08,Garlic,75,86,95,90,124,1kg
2022-01-08,Ginger,47,54,60,56,78,1kg
2022-01-08,Onion Green,39,45,50,47,64,1kg
2022-01-08,Green Peas,53,61,67,64,87,1kg
2022-01-08,Ivy Gourd,35,40,44,42,58,1kg
2022-01-08,Lemon,44,51,56,53,73,1kg
2022-01-08,Mango Raw,82,94,104,98,135,1kg
2022-01-08,Mint Leaves,6,7,8,7,10,1kg
2022-01-08,Mushroom,88,101,112,106,145,1kg
2022-01-08,Mustard Leaves,17,20,22,20,28,1kg
2022-01-08,Ladies Finger,54,62,69,65,89,1kg
2022-01-08,Pumpkin,22,25,28,26,36,1kg
2022-01-08,Radish,36,41,46,43,59,1kg
2022-01-08,Ridge Gourd,39,45,50,47,64,1kg
2022-01-08,Shallot,30,35,38,36,50,1kg
2022-01-08,Snake Gourd,34,39,43,41,56,1kg
2022-01-08,Sorrel Leaves,11,13,14,13,18,1kg
2022-01-08,Spinach,11,13,14,13,18,1kg
2022-01-08,Sweet Potato,45,52,57,54,74,1kg
2022-01-09,Onion Big,36,41,46,43,59,1kg
2022-01-09,Onion Small,61,70,77,73,101,1kg
2022-01-09,Tomato,45,52,57,54,74,1kg
2022-01-09,Green Chilli,85,98,108,102,140,1kg
2022-01-09,Beetroot,67,77,85,80,111,1kg
2022-01-09,Potato,20,23,25,24,33,1kg
2022-01-09,Raw Banana,4,5,5,5,7,1kg
2022-01-09,Amaranth Leaves,18,21,23,22,30,1kg
2022-01-09,Amla,80,92,102,96,132,1kg
2022-01-09,Ash gourd,23,26,29,28,38,1kg
2022-01-09,Baby Corn,55,63,70,66,91,1kg
2022-01-09,Banana Flower,14,16,18,17,23,1kg
2022-01-09,Capsicum,48,55,61,58,79,1kg
2022-01-09,Bitter Gourd,58,67,74,70,96,1kg
